U+00B7	·	MIDDLE DOT
U+6084	悄	CJK UNIFIED IDEOGRAPH-6084
U+6089	悉	CJK UNIFIED IDEOGRAPH-6089
U+608D	悍	CJK UNIFIED IDEOGRAPH-608D
U+6094	悔	CJK UNIFIED IDEOGRAPH-6094
U+609F	悟	CJK UNIFIED IDEOGRAPH-609F
U+60A0	悠	CJK UNIFIED IDEOGRAPH-60A0
U+60A3	患	CJK UNIFIED IDEOGRAPH-60A3
U+60A6	悦	CJK UNIFIED IDEOGRAPH-60A6
U+60A8	您	CJK UNIFIED IDEOGRAPH-60A8
U+60AC	悬	CJK UNIFIED IDEOGRAPH-60AC
U+60AF	悯	CJK UNIFIED IDEOGRAPH-60AF
U+60B2	悲	CJK UNIFIED IDEOGRAPH-60B2
U+60B8	悸	CJK UNIFIED IDEOGRAPH-60B8
U+60C5	情	CJK UNIFIED IDEOGRAPH-60C5
U+60CA	惊	CJK UNIFIED IDEOGRAPH-60CA
U+60CB	惋	CJK UNIFIED IDEOGRAPH-60CB
U+60D1	惑	CJK UNIFIED IDEOGRAPH-60D1
U+60D5	惕	CJK UNIFIED IDEOGRAPH-60D5
U+60D8	惘	CJK UNIFIED IDEOGRAPH-60D8
U+60DC	惜	CJK UNIFIED IDEOGRAPH-60DC
U+60E0	惠	CJK UNIFIED IDEOGRAPH-60E0
U+60E7	惧	CJK UNIFIED IDEOGRAPH-60E7
U+60E8	惨	CJK UNIFIED IDEOGRAPH-60E8
U+60E9	惩	CJK UNIFIED IDEOGRAPH-60E9
U+60EB	惫	CJK UNIFIED IDEOGRAPH-60EB
U+60EF	惯	CJK UNIFIED IDEOGRAPH-60EF
U+60F0	惰	CJK UNIFIED IDEOGRAPH-60F0
U+60F3	想	CJK UNIFIED IDEOGRAPH-60F3
U+60F6	惶	CJK UNIFIED IDEOGRAPH-60F6
U+60F9	惹	CJK UNIFIED IDEOGRAPH-60F9
U+60FA	惺	CJK UNIFIED IDEOGRAPH-60FA
U+6101	愁	CJK UNIFIED IDEOGRAPH-6101
U+6108	愈	CJK UNIFIED IDEOGRAPH-6108
U+6109	愉	CJK UNIFIED IDEOGRAPH-6109
U+610F	意	CJK UNIFIED IDEOGRAPH-610F
U+611A	愚	CJK UNIFIED IDEOGRAPH-611A
U+611F	感	CJK UNIFIED IDEOGRAPH-611F
U+6124	愤	CJK UNIFIED IDEOGRAPH-6124
U+6127	愧	CJK UNIFIED IDEOGRAPH-6127
U+613F	愿	CJK UNIFIED IDEOGRAPH-613F
U+6148	慈	CJK UNIFIED IDEOGRAPH-6148
U+614C	慌	CJK UNIFIED IDEOGRAPH-614C
U+614E	慎	CJK UNIFIED IDEOGRAPH-614E
U+6155	慕	CJK UNIFIED IDEOGRAPH-6155
U+6162	慢	CJK UNIFIED IDEOGRAPH-6162
U+6168	慨	CJK UNIFIED IDEOGRAPH-6168
U+6170	慰	CJK UNIFIED IDEOGRAPH-6170
U+618B	憋	CJK UNIFIED IDEOGRAPH-618B
U+618E	憎	CJK UNIFIED IDEOGRAPH-618E
U+61A7	憧	CJK UNIFIED IDEOGRAPH-61A7
U+61AC	憬	CJK UNIFIED IDEOGRAPH-61AC
U+61BE	憾	CJK UNIFIED IDEOGRAPH-61BE
U+61C2	懂	CJK UNIFIED IDEOGRAPH-61C2
U+61C8	懈	CJK UNIFIED IDEOGRAPH-61C8
U+61CA	懊	CJK UNIFIED IDEOGRAPH-61CA
U+61D2	懒	CJK UNIFIED IDEOGRAPH-61D2
U+61E6	懦	CJK UNIFIED IDEOGRAPH-61E6
U+620F	戏	CJK UNIFIED IDEOGRAPH-620F
U+6210	成	CJK UNIFIED IDEOGRAPH-6210
U+6211	我	CJK UNIFIED IDEOGRAPH-6211
U+6212	戒	CJK UNIFIED IDEOGRAPH-6212
U+6216	或	CJK UNIFIED IDEOGRAPH-6216
U+6218	战	CJK UNIFIED IDEOGRAPH-6218
U+621A	戚	CJK UNIFIED IDEOGRAPH-621A
U+621F	戟	CJK UNIFIED IDEOGRAPH-621F
U+622A	截	CJK UNIFIED IDEOGRAPH-622A
U+6234	戴	CJK UNIFIED IDEOGRAPH-6234
U+6237	户	CJK UNIFIED IDEOGRAPH-6237
U+623F	房	CJK UNIFIED IDEOGRAPH-623F
U+6240	所	CJK UNIFIED IDEOGRAPH-6240
U+6247	扇	CJK UNIFIED IDEOGRAPH-6247
U+624B	手	CJK UNIFIED IDEOGRAPH-624B
U+624D	才	CJK UNIFIED IDEOGRAPH-624D
U+624E	扎	CJK UNIFIED IDEOGRAPH-624E
U+6251	扑	CJK UNIFIED IDEOGRAPH-6251
U+6253	打	CJK UNIFIED IDEOGRAPH-6253
U+6254	扔	CJK UNIFIED IDEOGRAPH-6254
U+6258	托	CJK UNIFIED IDEOGRAPH-6258
U+625B	扛	CJK UNIFIED IDEOGRAPH-625B
U+6267	执	CJK UNIFIED IDEOGRAPH-6267
U+6269	扩	CJK UNIFIED IDEOGRAPH-6269
U+626B	扫	CJK UNIFIED IDEOGRAPH-626B
U+626C	扬	CJK UNIFIED IDEOGRAPH-626C
U+626D	扭	CJK UNIFIED IDEOGRAPH-626D
U+626E	扮	CJK UNIFIED IDEOGRAPH-626E
U+626F	扯	CJK UNIFIED IDEOGRAPH-626F
U+6270	扰	CJK UNIFIED IDEOGRAPH-6270
U+6276	扶	CJK UNIFIED IDEOGRAPH-6276
U+6279	批	CJK UNIFIED IDEOGRAPH-6279
U+627E	找	CJK UNIFIED IDEOGRAPH-627E
U+627F	承	CJK UNIFIED IDEOGRAPH-627F
U+6280	技	CJK UNIFIED IDEOGRAPH-6280
U+628A	把	CJK UNIFIED IDEOGRAPH-628A
U+6291	抑	CJK UNIFIED IDEOGRAPH-6291
U+6293	抓	CJK UNIFIED IDEOGRAPH-6293
U+6295	投	CJK UNIFIED IDEOGRAPH-6295
U+6296	抖	CJK UNIFIED IDEOGRAPH-6296
U+6297	抗	CJK UNIFIED IDEOGRAPH-6297
U+6298	折	CJK UNIFIED IDEOGRAPH-6298
U+629A	抚	CJK UNIFIED IDEOGRAPH-629A
U+629B	抛	CJK UNIFIED IDEOGRAPH-629B
U+62A2	抢	CJK UNIFIED IDEOGRAPH-62A2
U+62A4	护	CJK UNIFIED IDEOGRAPH-62A4
U+62A5	报	CJK UNIFIED IDEOGRAPH-62A5
U+62AB	披	CJK UNIFIED IDEOGRAPH-62AB
U+62AC	抬	CJK UNIFIED IDEOGRAPH-62AC
U+62B1	抱	CJK UNIFIED IDEOGRAPH-62B1
U+62B5	抵	CJK UNIFIED IDEOGRAPH-62B5
U+62B9	抹	CJK UNIFIED IDEOGRAPH-62B9
U+62BC	押	CJK UNIFIED IDEOGRAPH-62BC
U+62BD	抽	CJK UNIFIED IDEOGRAPH-62BD
U+62C2	拂	CJK UNIFIED IDEOGRAPH-62C2
U+62C5	担	CJK UNIFIED IDEOGRAPH-62C5
U+62C6	拆	CJK UNIFIED IDEOGRAPH-62C6
U+62C9	拉	CJK UNIFIED IDEOGRAPH-62C9
U+62CC	拌	CJK UNIFIED IDEOGRAPH-62CC
U+62CD	拍	CJK UNIFIED IDEOGRAPH-62CD
U+62D0	拐	CJK UNIFIED IDEOGRAPH-62D0
U+62D2	拒	CJK UNIFIED IDEOGRAPH-62D2
U+62D3	拓	CJK UNIFIED IDEOGRAPH-62D3
U+62D4	拔	CJK UNIFIED IDEOGRAPH-62D4
U+62D6	拖	CJK UNIFIED IDEOGRAPH-62D6
U+62D8	拘	CJK UNIFIED IDEOGRAPH-62D8
U+62DB	招	CJK UNIFIED IDEOGRAPH-62DB
U+62DC	拜	CJK UNIFIED IDEOGRAPH-62DC
U+62E3	拣	CJK UNIFIED IDEOGRAPH-62E3
U+62E5	拥	CJK UNIFIED IDEOGRAPH-62E5
U+62E6	拦	CJK UNIFIED IDEOGRAPH-62E6
U+62E9	择	CJK UNIFIED IDEOGRAPH-62E9
U+62EC	括	CJK UNIFIED IDEOGRAPH-62EC
U+62ED	拭	CJK UNIFIED IDEOGRAPH-62ED
U+62EF	拯	CJK UNIFIED IDEOGRAPH-62EF
U+62F3	拳	CJK UNIFIED IDEOGRAPH-62F3
U+62F4	拴	CJK UNIFIED IDEOGRAPH-62F4
U+62FC	拼	CJK UNIFIED IDEOGRAPH-62FC
U+62FD	拽	CJK UNIFIED IDEOGRAPH-62FD
U+62FE	拾	CJK UNIFIED IDEOGRAPH-62FE
U+62FF	拿	CJK UNIFIED IDEOGRAPH-62FF
U+6301	持	CJK UNIFIED IDEOGRAPH-6301
U+6302	挂	CJK UNIFIED IDEOGRAPH-6302
U+6307	指	CJK UNIFIED IDEOGRAPH-6307
U+6309	按	CJK UNIFIED IDEOGRAPH-6309
U+6311	挑	CJK UNIFIED IDEOGRAPH-6311
U+6316	挖	CJK UNIFIED IDEOGRAPH-6316
U+631A	挚	CJK UNIFIED IDEOGRAPH-631A
U+6320	挠	CJK UNIFIED IDEOGRAPH-6320
U+6321	挡	CJK UNIFIED IDEOGRAPH-6321
U+6323	挣	CJK UNIFIED IDEOGRAPH-6323
U+6325	挥	CJK UNIFIED IDEOGRAPH-6325
U+632A	挪	CJK UNIFIED IDEOGRAPH-632A
U+632F	振	CJK UNIFIED IDEOGRAPH-632F
U+633A	挺	CJK UNIFIED IDEOGRAPH-633A
U+633D	挽	CJK UNIFIED IDEOGRAPH-633D
U+6349	捉	CJK UNIFIED IDEOGRAPH-6349
U+634D	捍	CJK UNIFIED IDEOGRAPH-634D
U+6355	捕	CJK UNIFIED IDEOGRAPH-6355
U+635F	损	CJK UNIFIED IDEOGRAPH-635F
U+6361	捡	CJK UNIFIED IDEOGRAPH-6361
U+6362	换	CJK UNIFIED IDEOGRAPH-6362
U+6363	捣	CJK UNIFIED IDEOGRAPH-6363
U+636E	据	CJK UNIFIED IDEOGRAPH-636E
U+6388	授	CJK UNIFIED IDEOGRAPH-6388
U+6389	掉	CJK UNIFIED IDEOGRAPH-6389
U+638C	掌	CJK UNIFIED IDEOGRAPH-638C
U+6392	排	CJK UNIFIED IDEOGRAPH-6392
U+6398	掘	CJK UNIFIED IDEOGRAPH-6398
U+63A0	掠	CJK UNIFIED IDEOGRAPH-63A0
U+63A2	探	CJK UNIFIED IDEOGRAPH-63A2
U+63A5	接	CJK UNIFIED IDEOGRAPH-63A5
U+63A7	控	CJK UNIFIED IDEOGRAPH-63A7
U+63A8	推	CJK UNIFIED IDEOGRAPH-63A8
U+63A9	掩	CJK UNIFIED IDEOGRAPH-63A9
U+63AA	措	CJK UNIFIED IDEOGRAPH-63AA
U+63B0	掰	CJK UNIFIED IDEOGRAPH-63B0
U+63CF	描	CJK UNIFIED IDEOGRAPH-63CF
U+63D0	提	CJK UNIFIED IDEOGRAPH-63D0
U+63D2	插	CJK UNIFIED IDEOGRAPH-63D2
U+63E1	握	CJK UNIFIED IDEOGRAPH-63E1
U+63EA	揪	CJK UNIFIED IDEOGRAPH-63EA
U+63ED	揭	CJK UNIFIED IDEOGRAPH-63ED
U+63F4	援	CJK UNIFIED IDEOGRAPH-63F4
U+6401	搁	CJK UNIFIED IDEOGRAPH-6401
U+640F	搏	CJK UNIFIED IDEOGRAPH-640F
U+641C	搜	CJK UNIFIED IDEOGRAPH-641C
U+641E	搞	CJK UNIFIED IDEOGRAPH-641E
U+642C	搬	CJK UNIFIED IDEOGRAPH-642C
U+642D	搭	CJK UNIFIED IDEOGRAPH-642D
U+643A	携	CJK UNIFIED IDEOGRAPH-643A
U+6446	摆	CJK UNIFIED IDEOGRAPH-6446
U+6447	摇	CJK UNIFIED IDEOGRAPH-6447
U+6454	摔	CJK UNIFIED IDEOGRAPH-6454
U+6458	摘	CJK UNIFIED IDEOGRAPH-6458
U+6467	摧	CJK UNIFIED IDEOGRAPH-6467
U+6469	摩	CJK UNIFIED IDEOGRAPH-6469
U+6478	摸	CJK UNIFIED IDEOGRAPH-6478
U+6487	撇	CJK UNIFIED IDEOGRAPH-6487
U+6491	撑	CJK UNIFIED IDEOGRAPH-6491
U+6492	撒	CJK UNIFIED IDEOGRAPH-6492
U+6495	撕	CJK UNIFIED IDEOGRAPH-6495
U+649E	撞	CJK UNIFIED IDEOGRAPH-649E
U+64A4	撤	CJK UNIFIED IDEOGRAPH-64A4
U+64AD	播	CJK UNIFIED IDEOGRAPH-64AD
U+64BC	撼	CJK UNIFIED IDEOGRAPH-64BC
U+64C2	擂	CJK UNIFIED IDEOGRAPH-64C2
U+64C5	擅	CJK UNIFIED IDEOGRAPH-64C5
U+64CD	操	CJK UNIFIED IDEOGRAPH-64CD
U+64D2	擒	CJK UNIFIED IDEOGRAPH-64D2
U+64E6	擦	CJK UNIFIED IDEOGRAPH-64E6
U+6512	攒	CJK UNIFIED IDEOGRAPH-6512
U+652F	支	CJK UNIFIED IDEOGRAPH-652F
U+6536	收	CJK UNIFIED IDEOGRAPH-6536
U+6538	攸	CJK UNIFIED IDEOGRAPH-6538
U+6539	改	CJK UNIFIED IDEOGRAPH-6539
U+653B	攻	CJK UNIFIED IDEOGRAPH-653B
U+653E	放	CJK UNIFIED IDEOGRAPH-653E
U+653F	政	CJK UNIFIED IDEOGRAPH-653F
U+6545	故	CJK UNIFIED IDEOGRAPH-6545
U+6548	效	CJK UNIFIED IDEOGRAPH-6548
U+654C	敌	CJK UNIFIED IDEOGRAPH-654C
U+654F	敏	CJK UNIFIED IDEOGRAPH-654F
U+6551	救	CJK UNIFIED IDEOGRAPH-6551
U+6559	教	CJK UNIFIED IDEOGRAPH-6559
U+655E	敞	CJK UNIFIED IDEOGRAPH-655E
U+6562	敢	CJK UNIFIED IDEOGRAPH-6562
U+6563	散	CJK UNIFIED IDEOGRAPH-6563
U+656C	敬	CJK UNIFIED IDEOGRAPH-656C
U+6570	数	CJK UNIFIED IDEOGRAPH-6570
U+6574	整	CJK UNIFIED IDEOGRAPH-6574
U+6577	敷	CJK UNIFIED IDEOGRAPH-6577
U+6587	文	CJK UNIFIED IDEOGRAPH-6587
U+6597	斗	CJK UNIFIED IDEOGRAPH-6597
U+6599	料	CJK UNIFIED IDEOGRAPH-6599
U+659C	斜	CJK UNIFIED IDEOGRAPH-659C
U+65A5	斥	CJK UNIFIED IDEOGRAPH-65A5
U+65A7	斧	CJK UNIFIED IDEOGRAPH-65A7
U+65A9	斩	CJK UNIFIED IDEOGRAPH-65A9
U+65AD	断	CJK UNIFIED IDEOGRAPH-65AD
U+65AF	斯	CJK UNIFIED IDEOGRAPH-65AF
U+65B0	新	CJK UNIFIED IDEOGRAPH-65B0
U+65B9	方	CJK UNIFIED IDEOGRAPH-65B9
U+65BD	施	CJK UNIFIED IDEOGRAPH-65BD
U+65C1	旁	CJK UNIFIED IDEOGRAPH-65C1
U+65C5	旅	CJK UNIFIED IDEOGRAPH-65C5
U+65CB	旋	CJK UNIFIED IDEOGRAPH-65CB
U+65CF	族	CJK UNIFIED IDEOGRAPH-65CF
U+65D7	旗	CJK UNIFIED IDEOGRAPH-65D7
U+65E0	无	CJK UNIFIED IDEOGRAPH-65E0
U+65E2	既	CJK UNIFIED IDEOGRAPH-65E2
U+65E5	日	CJK UNIFIED IDEOGRAPH-65E5
U+65E6	旦	CJK UNIFIED IDEOGRAPH-65E6
U+65E7	旧	CJK UNIFIED IDEOGRAPH-65E7
U+65E8	旨	CJK UNIFIED IDEOGRAPH-65E8
U+65E9	早	CJK UNIFIED IDEOGRAPH-65E9
U+65F6	时	CJK UNIFIED IDEOGRAPH-65F6
U+65F7	旷	CJK UNIFIED IDEOGRAPH-65F7
U+6602	昂	CJK UNIFIED IDEOGRAPH-6602
U+6606	昆	CJK UNIFIED IDEOGRAPH-6606
U+660C	昌	CJK UNIFIED IDEOGRAPH-660C
U+660E	明	CJK UNIFIED IDEOGRAPH-660E
U+660F	昏	CJK UNIFIED IDEOGRAPH-660F
U+6613	易	CJK UNIFIED IDEOGRAPH-6613
U+6614	昔	CJK UNIFIED IDEOGRAPH-6614
U+661F	星	CJK UNIFIED IDEOGRAPH-661F
U+6620	映	CJK UNIFIED IDEOGRAPH-6620
U+6625	春	CJK UNIFIED IDEOGRAPH-6625
U+6628	昨	CJK UNIFIED IDEOGRAPH-6628
U+662F	是	CJK UNIFIED IDEOGRAPH-662F
U+663C	昼	CJK UNIFIED IDEOGRAPH-663C
U+663E	显	CJK UNIFIED IDEOGRAPH-663E
U+6643	晃	CJK UNIFIED IDEOGRAPH-6643
U+6653	晓	CJK UNIFIED IDEOGRAPH-6653
U+6655	晕	CJK UNIFIED IDEOGRAPH-6655
U+665A	晚	CJK UNIFIED IDEOGRAPH-665A
U+666E	普	CJK UNIFIED IDEOGRAPH-666E
U+666F	景	CJK UNIFIED IDEOGRAPH-666F
U+6674	晴	CJK UNIFIED IDEOGRAPH-6674
U+667A	智	CJK UNIFIED IDEOGRAPH-667A
U+6682	暂	CJK UNIFIED IDEOGRAPH-6682
U+6687	暇	CJK UNIFIED IDEOGRAPH-6687
U+6696	暖	CJK UNIFIED IDEOGRAPH-6696
U+6697	暗	CJK UNIFIED IDEOGRAPH-6697
U+66B4	暴	CJK UNIFIED IDEOGRAPH-66B4
U+66DC	曜	CJK UNIFIED IDEOGRAPH-66DC
U+66F2	曲	CJK UNIFIED IDEOGRAPH-66F2
U+66F4	更	CJK UNIFIED IDEOGRAPH-66F4
U+66FC	曼	CJK UNIFIED IDEOGRAPH-66FC
U+66FE	曾	CJK UNIFIED IDEOGRAPH-66FE
U+66FF	替	CJK UNIFIED IDEOGRAPH-66FF
U+6700	最	CJK UNIFIED IDEOGRAPH-6700
U+6708	月	CJK UNIFIED IDEOGRAPH-6708
U+6709	有	CJK UNIFIED IDEOGRAPH-6709
U+670B	朋	CJK UNIFIED IDEOGRAPH-670B
U+670D	服	CJK UNIFIED IDEOGRAPH-670D
U+6717	朗	CJK UNIFIED IDEOGRAPH-6717
U+671B	望	CJK UNIFIED IDEOGRAPH-671B
U+671D	朝	CJK UNIFIED IDEOGRAPH-671D
U+671F	期	CJK UNIFIED IDEOGRAPH-671F
U+6728	木	CJK UNIFIED IDEOGRAPH-6728
U+672A	未	CJK UNIFIED IDEOGRAPH-672A
U+672B	末	CJK UNIFIED IDEOGRAPH-672B
U+672C	本	CJK UNIFIED IDEOGRAPH-672C
U+672F	术	CJK UNIFIED IDEOGRAPH-672F
U+6735	朵	CJK UNIFIED IDEOGRAPH-6735
U+673A	机	CJK UNIFIED IDEOGRAPH-673A
U+6740	杀	CJK UNIFIED IDEOGRAPH-6740
U+6742	杂	CJK UNIFIED IDEOGRAPH-6742
U+6743	权	CJK UNIFIED IDEOGRAPH-6743
U+6746	杆	CJK UNIFIED IDEOGRAPH-6746
U+674E	李	CJK UNIFIED IDEOGRAPH-674E
U+6750	材	CJK UNIFIED IDEOGRAPH-6750
U+6751	村	CJK UNIFIED IDEOGRAPH-6751
U+6756	杖	CJK UNIFIED IDEOGRAPH-6756
U+675C	杜	CJK UNIFIED IDEOGRAPH-675C
U+675F	束	CJK UNIFIED IDEOGRAPH-675F
U+6761	条	CJK UNIFIED IDEOGRAPH-6761
U+6765	来	CJK UNIFIED IDEOGRAPH-6765
U+676F	杯	CJK UNIFIED IDEOGRAPH-676F
U+6770	杰	CJK UNIFIED IDEOGRAPH-6770
U+6773	杳	CJK UNIFIED IDEOGRAPH-6773
U+6775	杵	CJK UNIFIED IDEOGRAPH-6775
U+677E	松	CJK UNIFIED IDEOGRAPH-677E
U+677F	板	CJK UNIFIED IDEOGRAPH-677F
U+6781	极	CJK UNIFIED IDEOGRAPH-6781
U+6784	构	CJK UNIFIED IDEOGRAPH-6784
U+6789	枉	CJK UNIFIED IDEOGRAPH-6789
U+6790	析	CJK UNIFIED IDEOGRAPH-6790
U+6795	枕	CJK UNIFIED IDEOGRAPH-6795
U+6797	林	CJK UNIFIED IDEOGRAPH-6797
U+679C	果	CJK UNIFIED IDEOGRAPH-679C
U+679D	枝	CJK UNIFIED IDEOGRAPH-679D
U+67AA	枪	CJK UNIFIED IDEOGRAPH-67AA
U+67AF	枯	CJK UNIFIED IDEOGRAPH-67AF
U+67B6	架	CJK UNIFIED IDEOGRAPH-67B6
U+67D0	某	CJK UNIFIED IDEOGRAPH-67D0
U+67D3	染	CJK UNIFIED IDEOGRAPH-67D3
U+67D4	柔	CJK UNIFIED IDEOGRAPH-67D4
U+67E5	查	CJK UNIFIED IDEOGRAPH-67E5
U+67F1	柱	CJK UNIFIED IDEOGRAPH-67F1
U+67F4	柴	CJK UNIFIED IDEOGRAPH-67F4
U+6807	标	CJK UNIFIED IDEOGRAPH-6807
U+680F	栏	CJK UNIFIED IDEOGRAPH-680F
U+6811	树	CJK UNIFIED IDEOGRAPH-6811
U+6816	栖	CJK UNIFIED IDEOGRAPH-6816
U+6837	样	CJK UNIFIED IDEOGRAPH-6837
U+6838	核	CJK UNIFIED IDEOGRAPH-6838
U+6839	根	CJK UNIFIED IDEOGRAPH-6839
U+683C	格	CJK UNIFIED IDEOGRAPH-683C
U+683D	栽	CJK UNIFIED IDEOGRAPH-683D
U+6845	桅	CJK UNIFIED IDEOGRAPH-6845
U+6846	框	CJK UNIFIED IDEOGRAPH-6846
U+6848	案	CJK UNIFIED IDEOGRAPH-6848
U+6863	档	CJK UNIFIED IDEOGRAPH-6863
U+6865	桥	CJK UNIFIED IDEOGRAPH-6865
U+6869	桩	CJK UNIFIED IDEOGRAPH-6869
U+6876	桶	CJK UNIFIED IDEOGRAPH-6876
U+6885	梅	CJK UNIFIED IDEOGRAPH-6885
U+68A6	梦	CJK UNIFIED IDEOGRAPH-68A6
U+68AD	梭	CJK UNIFIED IDEOGRAPH-68AD
U+68AF	梯	CJK UNIFIED IDEOGRAPH-68AF
U+68B3	梳	CJK UNIFIED IDEOGRAPH-68B3
U+68CB	棋	CJK UNIFIED IDEOGRAPH-68CB
U+68CD	棍	CJK UNIFIED IDEOGRAPH-68CD
U+68D2	棒	CJK UNIFIED IDEOGRAPH-68D2
U+68EE	森	CJK UNIFIED IDEOGRAPH-68EE
U+68F5	棵	CJK UNIFIED IDEOGRAPH-68F5
U+695A	楚	CJK UNIFIED IDEOGRAPH-695A
U+697C	楼	CJK UNIFIED IDEOGRAPH-697C
U+6982	概	CJK UNIFIED IDEOGRAPH-6982
U+699C	榜	CJK UNIFIED IDEOGRAPH-699C
U+6A21	模	CJK UNIFIED IDEOGRAPH-6A21
U+6A2A	横	CJK UNIFIED IDEOGRAPH-6A2A
U+6A59	橙	CJK UNIFIED IDEOGRAPH-6A59
U+6B20	欠	CJK UNIFIED IDEOGRAPH-6B20
U+6B21	次	CJK UNIFIED IDEOGRAPH-6B21
U+6B22	欢	CJK UNIFIED IDEOGRAPH-6B22
U+6B23	欣	CJK UNIFIED IDEOGRAPH-6B23
U+6B32	欲	CJK UNIFIED IDEOGRAPH-6B32
U+6B3A	欺	CJK UNIFIED IDEOGRAPH-6B3A
U+6B3E	款	CJK UNIFIED IDEOGRAPH-6B3E
U+6B47	歇	CJK UNIFIED IDEOGRAPH-6B47
U+6B49	歉	CJK UNIFIED IDEOGRAPH-6B49
U+6B4C	歌	CJK UNIFIED IDEOGRAPH-6B4C
U+6B62	止	CJK UNIFIED IDEOGRAPH-6B62
U+6B63	正	CJK UNIFIED IDEOGRAPH-6B63
U+6B64	此	CJK UNIFIED IDEOGRAPH-6B64
U+6B65	步	CJK UNIFIED IDEOGRAPH-6B65
U+6B66	武	CJK UNIFIED IDEOGRAPH-6B66
U+6B67	歧	CJK UNIFIED IDEOGRAPH-6B67
U+6B6A	歪	CJK UNIFIED IDEOGRAPH-6B6A
U+6B7B	死	CJK UNIFIED IDEOGRAPH-6B7B
U+6B7C	歼	CJK UNIFIED IDEOGRAPH-6B7C
U+6B86	殆	CJK UNIFIED IDEOGRAPH-6B86
U+6B8A	殊	CJK UNIFIED IDEOGRAPH-6B8A
U+6B8B	残	CJK UNIFIED IDEOGRAPH-6B8B
U+6BB5	段	CJK UNIFIED IDEOGRAPH-6BB5
U+6BBF	殿	CJK UNIFIED IDEOGRAPH-6BBF
U+6BC1	毁	CJK UNIFIED IDEOGRAPH-6BC1
U+6BC5	毅	CJK UNIFIED IDEOGRAPH-6BC5
U+6BCB	毋	CJK UNIFIED IDEOGRAPH-6BCB
U+6BCD	母	CJK UNIFIED IDEOGRAPH-6BCD
U+6BCF	每	CJK UNIFIED IDEOGRAPH-6BCF
U+6BD2	毒	CJK UNIFIED IDEOGRAPH-6BD2
U+6BD4	比	CJK UNIFIED IDEOGRAPH-6BD4
U+6BD5	毕	CJK UNIFIED IDEOGRAPH-6BD5
U+6BDB	毛	CJK UNIFIED IDEOGRAPH-6BDB
U+6BEB	毫	CJK UNIFIED IDEOGRAPH-6BEB
U+6BEF	毯	CJK UNIFIED IDEOGRAPH-6BEF
U+6C11	民	CJK UNIFIED IDEOGRAPH-6C11
U+6C14	气	CJK UNIFIED IDEOGRAPH-6C14
U+6C1B	氛	CJK UNIFIED IDEOGRAPH-6C1B
U+6C34	水	CJK UNIFIED IDEOGRAPH-6C34
U+6C38	永	CJK UNIFIED IDEOGRAPH-6C38
U+6C42	求	CJK UNIFIED IDEOGRAPH-6C42
U+6C47	汇	CJK UNIFIED IDEOGRAPH-6C47
U+6C49	汉	CJK UNIFIED IDEOGRAPH-6C49
U+6C57	汗	CJK UNIFIED IDEOGRAPH-6C57
U+6C5D	汝	CJK UNIFIED IDEOGRAPH-6C5D
U+6C60	池	CJK UNIFIED IDEOGRAPH-6C60
U+6C61	污	CJK UNIFIED IDEOGRAPH-6C61
U+6C64	汤	CJK UNIFIED IDEOGRAPH-6C64
U+6C6A	汪	CJK UNIFIED IDEOGRAPH-6C6A
U+6C83	沃	CJK UNIFIED IDEOGRAPH-6C83
U+6C89	沉	CJK UNIFIED IDEOGRAPH-6C89
U+6C90	沐	CJK UNIFIED IDEOGRAPH-6C90
U+6C99	沙	CJK UNIFIED IDEOGRAPH-6C99
U+6C9B	沛	CJK UNIFIED IDEOGRAPH-6C9B
U+6CA1	没	CJK UNIFIED IDEOGRAPH-6CA1
U+6CA6	沦	CJK UNIFIED IDEOGRAPH-6CA6
U+6CAE	沮	CJK UNIFIED IDEOGRAPH-6CAE
U+6CB3	河	CJK UNIFIED IDEOGRAPH-6CB3
U+6CB8	沸	CJK UNIFIED IDEOGRAPH-6CB8
U+6CB9	油	CJK UNIFIED IDEOGRAPH-6CB9
U+6CBB	治	CJK UNIFIED IDEOGRAPH-6CBB
U+6CBC	沼	CJK UNIFIED IDEOGRAPH-6CBC
U+6CBF	沿	CJK UNIFIED IDEOGRAPH-6CBF
U+6CC4	泄	CJK UNIFIED IDEOGRAPH-6CC4
U+6CC9	泉	CJK UNIFIED IDEOGRAPH-6CC9
U+6CCA	泊	CJK UNIFIED IDEOGRAPH-6CCA
U+6CD5	法	CJK UNIFIED IDEOGRAPH-6CD5
U+6CDE	泞	CJK UNIFIED IDEOGRAPH-6CDE
U+6CE1	泡	CJK UNIFIED IDEOGRAPH-6CE1
U+6CE2	波	CJK UNIFIED IDEOGRAPH-6CE2
U+6CE3	泣	CJK UNIFIED IDEOGRAPH-6CE3
U+6CE5	泥	CJK UNIFIED IDEOGRAPH-6CE5
U+6CE8	注	CJK UNIFIED IDEOGRAPH-6CE8
U+6CEA	泪	CJK UNIFIED IDEOGRAPH-6CEA
U+6CEF	泯	CJK UNIFIED IDEOGRAPH-6CEF
U+6CF0	泰	CJK UNIFIED IDEOGRAPH-6CF0
U+6CFC	泼	CJK UNIFIED IDEOGRAPH-6CFC
U+6CFD	泽	CJK UNIFIED IDEOGRAPH-6CFD
U+6D01	洁	CJK UNIFIED IDEOGRAPH-6D01
U+6D0B	洋	CJK UNIFIED IDEOGRAPH-6D0B
U+6D12	洒	CJK UNIFIED IDEOGRAPH-6D12
